SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
FWD428B,10081361,448.9,0.0,0.0,0.0,448.9,448.9,,2E-2,448.9,0,,2025-01
FWD432,22041160,25.0,0.0,0.0,0.0,25.0,25.0,,3A-1,25.0,0,,2025-01
FWD435,23080761,1501.7,0.0,0.0,0.0,1501.7,1501.7,306.0,4B-2,1501.7,0,,2025-01
FWD435B,23090360,175.0,0.0,0.0,75.0,100.0,2610.0,430.0,3B-5,100.0,0,,2025-01
FWD435B,24110263,2510.0,0.0,0.0,0.0,2510.0,,,4C-1,2510.0,0,,2025-01
FWD435C,19121861,289.1,0.0,0.0,0.0,289.1,289.1,0.0,3B-1,289.1,0,,2025-01
FWD435Y,19122663,126.38,0.0,0.0,75.0,51.38,51.38,0.0,2F-4,51.38,0,15kg装,2025-01
FWD439,24122461,559.0,0.0,0.0,175.0,384.0,384.0,,2D-2,384.0,0,,2025-01
FWD401,24110461,3722.0,0.0,0.0,320.0,3402.0,3402.0,500.0,4A-1,3402.0,0,,2025-01
FWD402,2405286120,593.3,0.0,0.0,200.0,393.3,393.3,500.0,4C-4,393.3,0,,2025-01
FWD4002,24051663,497.0,0.0,0.0,255.0,242.0,4337.0,1012.0,2C-1,242.0,0,15kg装,2025-01
FWD4002,24111862,4095.0,0.0,0.0,0.0,4095.0,,,4A-1,4095.0,0,,2025-01
FWD4002T,24070561,2409.5,0.0,0.0,122.0,2287.5,2287.5,1000.0,2D-1,2287.5,0,15kg装2个零头,2025-01
FWD403,24112760,1027.0,0.0,0.0,0.0,1027.0,1027.0,200.0,4A-3,1027.0,0,,2025-01
FWD405B,19070562,203.45,0.0,0.0,0.0,203.45,203.45,100.0,4B-1,203.45,0,,2025-01
FWD407,23101360,725.55,0.0,0.0,50.0,675.55,675.55,325.0,4C-1,675.55,0,,2025-01
FWD407A,20072162,24.25,0.0,0.0,0.0,24.25,24.25,,D-2,24.25,0,,2025-01
