sku,当前品类,成本(¥)（销售单价*0.75）【只需填写销售单价即可】,销售单价(¥),缺失项
FWD5800XSW,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5801L,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5802L,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5803L,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5804L,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5810L,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5811L,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5812L,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5813L,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5814L,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5820,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5820B,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5821,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5822,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5822A,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5823,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5825,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5840B,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5841,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5841A,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5842A,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5844A,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5855,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5871B,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5872B,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5873B,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5873C,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5874B,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5874C,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5875A,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5875B,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5875C,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5880B,,112.5,150,缺品类
FWD5880X,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5881B,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5881X,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5882X,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5883X,,0,,缺品类 / 缺成本 / 缺销售单价
